[Header]
TITLE,28-03-2025_RuCl3_TB001_0T _001_110-180K
BYAPP,HeatCapacity,3.9.6,1.7
INFO,33,MASS:Sample Mass (mg)
INFO,0.1,MASSERR:Sample Mass Error (mg)
INFO,207.43,MOLWGHT:Formula Weight (g/mole)
INFO,4,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (J/mole-K),Samp HC Err (J/mole-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (J/mole-K/K),Addenda Offset HC (µJ/K)
7872867.67,,5905,,161.75,0.316,9.1E-6,161.77213,3.7736218,77.663544,0.2408,4491.4186,3.238,16846.897,8.145,3.2545785,116.97356,0.15412806,99.325748,372.06686,2.903,1,,,,0.00014454968,235.41454,26170.223,0.48007987,0
7873715.91,,5905,,161.75,0.316,9.1E-6,161.75974,3.7764778,77.88418,0.2446,4491.2773,3.238,16881.857,10.21,0.9545071,118.67997,0.18762969,99.189805,369.81083,3.047,1,,,,0.00014287379,233.94712,26166.212,0.48148063,0
7874762.83,,5905,,163.07,0.316,9.1E-6,163.03354,3.7428424,78.041989,0.2428,4544.3227,3.259,16960.008,8.737,1.0372067,116.73921,0.16481112,99.279858,371.11447,2.985,1,,,,0.00014584671,237.35995,26579.934,0.47868672,0
7875609.73,,5905,,163.102,0.316,9.1E-6,163.16117,3.7883589,77.843588,0.242,4550.0132,3.261,16934.135,8.568,8.5768876,116.01523,0.14181101,99.377643,373.42845,2.965,1,,,,0.00014645425,233.47842,26621.568,0.47709628,0
7876454.75,,5905,,163.07,0.316,9.2E-6,163.13951,3.8012329,78.251432,0.2484,4549.8128,3.261,16998.819,11.75,25.854555,119.34875,0.20569538,99.120146,369.21596,3.194,1,,,,0.00014310906,232.03045,26614.5,0.4796596,0
7877504.72,,5905,,164.484,0.316,9.1E-6,164.32904,3.7664886,78.608981,0.2479,4598.4981,3.279,17104.386,10.9,0.044679932,115.02623,0.13484676,99.403356,368.21871,3.185,1,,,,0.00014917757,238.6975,27004.034,0.47836329,0
7878339.77,,5905,,164.484,0.316,9E-6,164.45777,3.7950165,78.089093,0.2462,4604.7985,3.281,17027.978,10.8,0.2112439,116.38061,0.15709523,99.31551,373.87172,3.149,1,,,,0.00014685032,230.05247,27046.36,0.47482762,0
7879185.69,,5905,,164.483,0.316,9.1E-6,164.42876,3.8379475,78.838434,0.2536,4604.104,3.281,17146.496,13.51,2.4716007,119.58621,0.211569,99.098661,366.06627,3.373,1,,,,0.00014408091,232.76122,27036.816,0.47946865,0
7880232.81,,5905,,165.863,0.316,9.2E-6,165.72968,3.8265917,78.675986,0.2443,4657.5693,3.299,17174.117,8.478,0.88708151,116.20694,0.17518101,99.236905,370.65846,3.057,1,,,,0.00014839362,239.17243,27466.328,0.47472477,0
7881074.94,,5905,,165.866,0.316,9E-6,165.86225,3.8450314,78.609277,0.2428,4663.5552,3.301,17169.49,7.494,1.1400867,115.79679,0.14902625,99.349227,371.65116,2.99,1,,,,0.00014878854,232.41389,27510.288,0.47394313,0
