,Time,Temperature(K),Field(Oe),Field(T),Long Moment(emu),Long err,Susceptibility(m^3/mol),err
8374,3948971052.025,11.3848543167114,99.7480163574219,0.00997480163574219,3.34833067593575e-06,1.95061609942055e-07,1.3809719208817596e-08,8.051449601224153e-10
8375,3948971053.0215,11.3879828453064,99.757022857666,0.0099757022857666,3.23596189277906e-06,1.88727438239197e-07,1.3345064998393674e-08,7.789280287849972e-10
8376,3948971054.0455,11.3911409378052,99.7660293579102,0.00997660293579102,3.6701355975525e-06,2.0769910319684e-07,1.5134225358104547e-08,8.571939552425734e-10
8377,3948971055.058,11.3942642211914,99.7660293579102,0.00997660293579102,3.24714272926483e-06,2.1682541695725e-07,1.338996571881337e-08,8.946465827773948e-10
8378,3948971056.06,11.3969397544861,99.7480201721191,0.00997480201721191,3.53764178535822e-06,2.2102442334362e-07,1.4590505710786838e-08,9.122154172773903e-10
8379,3948971057.0345,11.3996968269348,99.7840461730957,0.00997840461730957,3.2915498501161e-06,2.19224485992554e-07,1.3570632848422347e-08,9.043849276150331e-10
8380,3948971058.0155,11.4031348228455,99.8110618591309,0.00998110618591309,3.47528469330025e-06,2.05153004389695e-07,1.4324269586647654e-08,8.462461937354092e-10
8381,3948971059.038,11.4065804481506,99.7750358581543,0.00997750358581543,3.47539317616155e-06,2.05159361877159e-07,1.4329888984660651e-08,8.465779838824874e-10
8382,3948971060.0285,11.4095091819763,99.7930488586426,0.00997930488586426,3.40743403059938e-06,1.60060379143349e-07,1.4047140928053675e-08,6.60656800253755e-10
8383,3948971061.0155,11.4133772850037,99.7930488586426,0.00997930488586426,3.25357056857233e-06,2.00559245447342e-07,1.341283907059643e-08,8.273933332611243e-10
8384,3948971062.041,11.4165101051331,99.7930488586426,0.00997930488586426,3.17909933620952e-06,2.05789527176465e-07,1.3105831543321658e-08,8.489142880548777e-10
8385,3948971063.0315,11.4201383590698,99.8290748596191,0.00998290748596191,3.72145127555468e-06,1.65974752704416e-07,1.533614002434653e-08,6.849129423046447e-10
8386,3948971064.0015,11.4234871864319,99.8020553588867,0.009980205535888671,3.15807073412692e-06,1.91045831218877e-07,1.3017966272797598e-08,7.880967373007724e-10
8387,3948971065.0025,11.4267501831055,99.7660293579102,0.00997660293579102,3.04996777732134e-06,1.81755951029168e-07,1.2576892174697937e-08,7.500620138801889e-10
8388,3948971066.0165,11.4302825927734,99.7660293579102,0.00997660293579102,3.09990513502353e-06,1.94529537334091e-07,1.278281460049529e-08,8.027155205113363e-10
8389,3948971067.015,11.4334383010864,99.757022857666,0.0099757022857666,3.17330697610707e-06,2.12002287268595e-07,1.3086676932291147e-08,8.748242356456566e-10
8390,3948971068.024,11.4374661445618,99.7480163574219,0.00997480163574219,3.17449440110959e-06,2.29626236983475e-07,1.3092755928903433e-08,9.47550470218272e-10
8391,3948971069.023,11.4408974647522,99.757022857666,0.0099757022857666,3.61021881119146e-06,1.69137858066213e-07,1.4888495690039645e-08,6.983811735707972e-10
8392,3948971070.024,11.4443969726562,99.8110580444336,0.00998110580444336,3.35057288436617e-06,2.05774643174892e-07,1.3810238681224822e-08,8.487604135380987e-10
